date,symbol,dir,moneyness,ticker,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts
2026-01-02,AMZN,DN,ATM,AMZN260102P00232500,2026-01-02 10:52:00-05:00,1,5.89,7.04,0.19524617996604432,T+30,2026-01-02 10:52:00-05:00,2026-01-02 11:22:08-05:00
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,2026-01-02 10:56:00-05:00,1,0.612,1.01,0.650326797385621,TP,2026-01-02 10:56:01-05:00,2026-01-02 10:57:35-05:00
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,2026-01-02 11:03:00-05:00,2,1.128,0.978,-0.1329787234042552,T+30,2026-01-02 11:03:00-05:00,2026-01-02 11:33:00-05:00
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,2026-01-02 12:48:00-05:00,3,0.8099999999999999,1.302,0.6074074074074076,TP,2026-01-02 12:48:00-05:00,2026-01-02 13:14:03-05:00
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,2026-01-02 13:32:00-05:00,4,1.348,2.18,0.6172106824925816,TP,2026-01-02 13:32:01-05:00,2026-01-02 13:49:44-05:00
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,2026-01-02 13:58:00-05:00,5,2.472,0.962,-0.61084142394822,SL,2026-01-02 13:58:02-05:00,2026-01-02 14:22:07-05:00
2026-01-07,AMD,DN,ATM,AMD260109P00212500,2026-01-07 10:38:00-05:00,1,4.77,4.52,-0.052410901467505266,T+30,2026-01-07 10:38:00-05:00,2026-01-07 11:08:00-05:00
2026-01-07,AMD,DN,ATM,AMD260109P00212500,2026-01-07 11:18:00-05:00,2,4.67,4.32,-0.07494646680942174,T+30,2026-01-07 11:18:01-05:00,2026-01-07 11:48:00-05:00
2026-01-07,MSFT,UP,ATM,MSFT260109C00490000,2026-01-07 12:15:00-05:00,1,2.74,2.882,0.05182481751824808,T+30,2026-01-07 12:15:02-05:00,2026-01-07 12:45:00-05:00
2026-01-07,MSFT,UP,ATM,MSFT260109C00490000,2026-01-07 13:23:00-05:00,2,2.6,2.51,-0.034615384615384714,T+30,2026-01-07 13:23:01-05:00,2026-01-07 13:53:06-05:00
2026-01-08,AMD,DN,ATM,AMD260109P00205000,2026-01-08 10:40:00-05:00,1,2.166,2.5060000000000002,0.15697137580794096,T+30,2026-01-08 10:40:00-05:00,2026-01-08 11:10:00-05:00
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,2026-01-08 11:00:00-05:00,1,1.486,1.744,0.17362045760430678,T+30,2026-01-08 11:00:00-05:00,2026-01-08 11:30:00-05:00
2026-01-08,AMD,DN,ATM,AMD260109P00205000,2026-01-08 11:15:00-05:00,2,2.79,2.662,-0.0458781362007169,T+30,2026-01-08 11:15:01-05:00,2026-01-08 11:45:02-05:00
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,2026-01-08 12:00:00-05:00,2,1.726,2.004,0.16106604866743912,T+30,2026-01-08 12:00:00-05:00,2026-01-08 12:30:00-05:00
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,2026-01-08 12:39:00-05:00,3,2.218,1.884,-0.15058611361587015,T+30,2026-01-08 12:39:00-05:00,2026-01-08 13:09:00-05:00
2026-01-08,AMD,DN,ATM,AMD260109P00205000,2026-01-08 13:11:00-05:00,3,2.608,2.412,-0.07515337423312884,T+30,2026-01-08 13:11:00-05:00,2026-01-08 13:41:01-05:00
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,2026-01-08 14:00:00-05:00,4,2.016,1.984,-0.015873015873015928,T+30,2026-01-08 14:00:00-05:00,2026-01-08 14:30:00-05:00
2026-01-09,TSLA,UP,ATM,TSLA260109C00445000,2026-01-09 11:56:00-05:00,1,1.244,1.336,0.07395498392282973,T+30,2026-01-09 11:56:00-05:00,2026-01-09 12:26:02-05:00
2026-01-09,TSLA,UP,ATM,TSLA260109C00445000,2026-01-09 12:33:00-05:00,2,1.106,1.774,0.6039783001808317,TP,2026-01-09 12:33:00-05:00,2026-01-09 12:41:13-05:00
2026-01-09,TSLA,UP,ATM,TSLA260109C00445000,2026-01-09 12:52:00-05:00,3,2.394,3.86,0.6123642439431911,TP,2026-01-09 12:52:00-05:00,2026-01-09 13:06:52-05:00
2026-01-09,TSLA,UP,ATM,TSLA260109C00445000,2026-01-09 13:13:00-05:00,4,3.73,3.03,-0.18766756032171583,T+30,2026-01-09 13:13:01-05:00,2026-01-09 13:43:03-05:00
2026-01-14,TSLA,DN,ATM,TSLA260116P00437500,2026-01-14 10:43:00-05:00,1,5.38,5.92,0.1003717472118959,T+30,2026-01-14 10:43:00-05:00,2026-01-14 11:13:00-05:00
2026-01-14,META,DN,ATM,META260116P00630000,2026-01-14 10:50:00-05:00,1,13.83,11.68,-0.15545914678235717,T+30,2026-01-14 10:50:00-05:00,2026-01-14 11:20:03-05:00
2026-01-14,TSLA,DN,ATM,TSLA260116P00437500,2026-01-14 11:45:00-05:00,2,6.23,6.46,0.036918138041733384,T+30,2026-01-14 11:45:00-05:00,2026-01-14 12:15:00-05:00
2026-01-14,META,DN,ATM,META260116P00630000,2026-01-14 11:51:00-05:00,2,13.25,14.81,0.11773584905660384,T+30,2026-01-14 11:51:01-05:00,2026-01-14 12:21:04-05:00
2026-01-14,META,DN,ATM,META260116P00630000,2026-01-14 12:40:00-05:00,3,15.07,15.19,0.00796284007962833,T+30,2026-01-14 12:40:00-05:00,2026-01-14 13:10:00-05:00
2026-01-14,META,DN,ATM,META260116P00630000,2026-01-14 13:33:00-05:00,4,15.34,13.97,-0.08930899608865706,T+30,2026-01-14 13:33:00-05:00,2026-01-14 14:03:04-05:00
2026-01-15,NVDA,UP,ATM,NVDA260116C00187500,2026-01-15 10:38:00-05:00,1,2.046,1.742,-0.1485826001955034,T+30,2026-01-15 10:38:00-05:00,2026-01-15 11:08:00-05:00
2026-01-15,AMD,UP,ATM,AMD260116C00237500,2026-01-15 10:56:00-05:00,1,2.646,2.782,0.05139833711262298,T+30,2026-01-15 10:56:00-05:00,2026-01-15 11:26:01-05:00
2026-01-15,NVDA,UP,ATM,NVDA260116C00187500,2026-01-15 11:44:00-05:00,2,1.808,2.194,0.21349557522123885,T+30,2026-01-15 11:44:00-05:00,2026-01-15 12:14:00-05:00
2026-01-15,AMD,UP,ATM,AMD260116C00237500,2026-01-15 12:00:00-05:00,2,2.63,2.39,-0.09125475285171092,T+30,2026-01-15 12:00:00-05:00,2026-01-15 12:30:00-05:00
2026-01-15,AMD,UP,ATM,AMD260116C00237500,2026-01-15 12:50:00-05:00,3,2.582,2.858,0.10689388071262607,T+30,2026-01-15 12:50:00-05:00,2026-01-15 13:20:05-05:00
2026-01-15,NVDA,UP,ATM,NVDA260116C00187500,2026-01-15 13:00:00-05:00,3,1.994,2.554,0.2808425275827482,T+30,2026-01-15 13:00:00-05:00,2026-01-15 13:30:01-05:00
2026-01-15,AMD,UP,ATM,AMD260116C00237500,2026-01-15 13:27:00-05:00,4,2.912,1.966,-0.3248626373626373,T+30,2026-01-15 13:27:03-05:00,2026-01-15 13:57:00-05:00
2026-01-15,NVDA,UP,ATM,NVDA260116C00187500,2026-01-15 13:36:00-05:00,4,2.694,2.316,-0.14031180400890875,T+30,2026-01-15 13:36:00-05:00,2026-01-15 14:06:00-05:00
2026-01-16,AMD,UP,ATM,AMD260116C00232500,2026-01-16 10:59:00-05:00,1,1.6179999999999999,1.486,-0.08158220024721874,T+30,2026-01-16 10:59:00-05:00,2026-01-16 11:29:00-05:00
2026-01-16,AMD,UP,ATM,AMD260116C00232500,2026-01-16 12:23:00-05:00,2,1.29,2.094,0.6232558139534883,TP,2026-01-16 12:23:00-05:00,2026-01-16 12:28:08-05:00
2026-01-16,AMD,UP,ATM,AMD260116C00232500,2026-01-16 12:34:00-05:00,3,2.224,1.034,-0.5350719424460432,T+30,2026-01-16 12:34:01-05:00,2026-01-16 13:04:02-05:00
2026-01-21,AMD,UP,ATM,AMD260123C00250000,2026-01-21 10:30:00-05:00,1,3.98,6.37,0.6005025125628141,TP,2026-01-21 10:30:00-05:00,2026-01-21 10:42:16-05:00
