date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,size_frac,n_concurrent,position_sizing,size_reason,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-01-02,AMZN,DN,ATM,AMZN260102P00232500,AMZN260102P00232500,day_lock,1s,226.42,232.5,,2026-01-02 10:52:00-05:00,1,5.89,7.04,0.19524617996604432,T+30,2026-01-02 10:52:00-05:00,2026-01-02 11:22:08-05:00,0.15,1,concurrent,solo_full,-0.0091442763603522,5.0,1.2191360807848761
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,MSFT260102P00472500,day_lock,1s,474.64,472.5,,2026-01-02 10:56:00-05:00,1,0.612,1.01,0.650326797385621,TP,2026-01-02 10:56:01-05:00,2026-01-02 10:57:35-05:00,0.075,2,concurrent,split_cap,-0.009176531303422109,5.0,0.8066015317766398
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,MSFT260102P00472500,day_lock,1s,473.4085,472.5,,2026-01-02 11:03:00-05:00,2,1.128,0.978,-0.1329787234042552,T+30,2026-01-02 11:03:00-05:00,2026-01-02 11:33:00-05:00,0.075,2,concurrent,split_cap,-0.012579427797309917,4.0,1.742645104553849
2026-01-07,MSFT,UP,ATM,MSFT260109C00490000,MSFT260109C00490000,day_lock,1s,488.54,490.0,,2026-01-07 12:15:00-05:00,1,2.74,2.882,0.05182481751824808,T+30,2026-01-07 12:15:02-05:00,2026-01-07 12:45:00-05:00,0.15,1,concurrent,solo_full,0.006287231141835159,0.0,-0.1704646303954792
2026-01-07,MSFT,UP,ATM,MSFT260109C00490000,MSFT260109C00490000,day_lock,1s,488.37,490.0,,2026-01-07 13:23:00-05:00,2,2.6,2.51,-0.034615384615384714,T+30,2026-01-07 13:23:01-05:00,2026-01-07 13:53:06-05:00,0.15,1,concurrent,solo_full,0.005116525253821225,1.0,0.4564137061048817
2026-01-08,AMD,DN,ATM,AMD260109P00205000,AMD260109P00205000,day_lock,1s,205.645,205.0,,2026-01-08 10:40:00-05:00,1,2.166,2.5060000000000002,0.15697137580794096,T+30,2026-01-08 10:40:00-05:00,2026-01-08 11:10:00-05:00,0.15,1,concurrent,solo_full,-0.006065121943402807,2.0,-1.28343219116175
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,NVDA260109P00185000,day_lock,1s,185.18,185.0,,2026-01-08 11:00:00-05:00,1,1.486,1.744,0.17362045760430678,T+30,2026-01-08 11:00:00-05:00,2026-01-08 11:30:00-05:00,0.075,2,concurrent,split_cap,-0.005832772489824722,1.0,-1.695183503455676
2026-01-08,AMD,DN,ATM,AMD260109P00205000,AMD260109P00205000,day_lock,1s,204.1579,205.0,,2026-01-08 11:15:00-05:00,2,2.79,2.662,-0.0458781362007169,T+30,2026-01-08 11:15:01-05:00,2026-01-08 11:45:02-05:00,0.075,2,concurrent,split_cap,-0.007771688619683914,1.0,-0.18912422469270787
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,NVDA260109P00185000,day_lock,1s,184.7,185.0,,2026-01-08 12:00:00-05:00,2,1.726,2.004,0.16106604866743912,T+30,2026-01-08 12:00:00-05:00,2026-01-08 12:30:00-05:00,0.15,1,concurrent,solo_full,-0.006633977502163213,2.0,-0.42901889562072093
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,NVDA260109P00185000,day_lock,1s,184.11,185.0,,2026-01-08 12:39:00-05:00,3,2.218,1.884,-0.15058611361587015,T+30,2026-01-08 12:39:00-05:00,2026-01-08 13:09:00-05:00,0.15,1,concurrent,solo_full,-0.006425664198955183,0.0,-1.0642147207584207
