date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-05-01,TSLA,UP,ATM,TSLA260501C00392500,TSLA260501C00392500,day_lock,1s,390.18,392.5,,2026-05-01 10:56:00-04:00,1,1.216,1.966,0.6167763157894737,TP,2026-05-01 10:56:00-04:00,2026-05-01 11:06:04-04:00,0.007202911112439647,3.0,0.3326405730698789
2026-05-01,TSLA,UP,ATM,TSLA260501C00392500,TSLA260501C00392500,day_lock,1s,395.16,392.5,,2026-05-01 11:41:00-04:00,2,3.98,2.664,-0.33065326633165826,T+30,2026-05-01 11:41:00-04:00,2026-05-01 12:11:00-04:00,0.009452148962878937,2.0,0.6626529454096551
2026-05-01,AAPL,UP,ATM,AAPL260501C00280000,AAPL260501C00280000,day_lock,1s,284.79,280.0,,2026-05-01 11:42:00-04:00,1,4.890000000000001,4.04,-0.17382413087934567,T+30,2026-05-01 11:42:03-04:00,2026-05-01 12:12:00-04:00,0.00932512403610497,2.0,0.9606358673075029
2026-05-04,AMZN,UP,ATM,AMZN260504C00270000,AMZN260504C00270000,day_lock,1s,274.545,270.0,,2026-05-04 10:38:00-04:00,1,3.97,4.930000000000001,0.24181360201511337,T+30,2026-05-04 10:38:00-04:00,2026-05-04 11:08:00-04:00,0.002655156046042606,1.0,-0.32900857336631223
2026-05-05,AAPL,UP,ATM,AAPL260506C00282500,AAPL260506C00282500,day_lock,1s,282.43,282.5,,2026-05-05 13:04:00-04:00,1,1.922,3.12,0.6233090530697192,TP,2026-05-05 13:04:00-04:00,2026-05-05 13:20:13-04:00,0.012617405778147628,0.0,-0.9944012607241843
2026-05-05,AAPL,UP,ATM,AAPL260506C00282500,AAPL260506C00282500,day_lock,1s,282.8501,282.5,,2026-05-05 13:53:00-04:00,2,2.056,2.69,0.30836575875486383,T+30,2026-05-05 13:53:00-04:00,2026-05-05 14:23:02-04:00,0.013850909523243526,0.0,-1.3706701149513183
2026-05-06,NVDA,UP,ATM,NVDA260506C00207500,NVDA260506C00207500,day_lock,1s,205.27,207.5,,2026-05-06 10:40:00-04:00,1,0.408,0.242,-0.4068627450980392,T+30,2026-05-06 10:40:00-04:00,2026-05-06 11:10:00-04:00,0.013689786216307454,3.0,-0.5024838253253331
2026-05-07,TSLA,UP,ATM,TSLA260508C00415000,TSLA260508C00415000,day_lock,1s,411.92,415.0,,2026-05-07 10:36:00-04:00,1,4.09,3.02,-0.26161369193154027,T+30,2026-05-07 10:36:00-04:00,2026-05-07 11:06:00-04:00,0.0055996837149121514,0.0,0.09742506267811303
2026-05-07,MSFT,UP,ATM,MSFT260508C00425000,MSFT260508C00425000,day_lock,1s,425.02,425.0,,2026-05-07 10:51:00-04:00,1,3.62,4.22,0.16574585635359096,T+30,2026-05-07 10:51:00-04:00,2026-05-07 11:21:01-04:00,0.006692304927577775,0.0,-0.06944474635289115
2026-05-07,MSFT,UP,ATM,MSFT260508C00425000,MSFT260508C00425000,day_lock,1s,426.36,425.0,,2026-05-07 11:55:00-04:00,2,4.12,2.988,-0.27475728155339807,T+30,2026-05-07 11:55:00-04:00,2026-05-07 12:25:01-04:00,0.0038026093519749615,0.0,1.0201473142332023
