date,symbol,dir,sig_ts,spot,rank
2026-01-02,AMZN,DN,2026-01-02 10:52:00-05:00,226.42,1
2026-01-02,MSFT,DN,2026-01-02 10:56:00-05:00,474.64,2
2026-01-05,TSLA,UP,2026-01-05 10:58:00-05:00,455.01,1
2026-01-05,AMZN,UP,2026-01-05 11:31:00-05:00,232.6899,2
2026-01-06,AMZN,UP,2026-01-06 10:34:00-05:00,237.745,1
2026-01-06,AMD,DN,2026-01-06 10:38:00-05:00,214.4316,2
2026-01-07,AMD,DN,2026-01-07 10:38:00-05:00,209.09,1
2026-01-07,MSFT,UP,2026-01-07 12:15:00-05:00,488.54,2
2026-01-08,AMD,DN,2026-01-08 10:40:00-05:00,205.645,1
2026-01-08,NVDA,DN,2026-01-08 11:00:00-05:00,185.18,2
2026-01-09,TSLA,UP,2026-01-09 11:56:00-05:00,444.62,1
2026-01-12,AMD,UP,2026-01-12 11:13:00-05:00,207.925,1
2026-01-12,TSLA,UP,2026-01-12 12:17:00-05:00,454.1,2
2026-01-13,MSFT,DN,2026-01-13 10:32:00-05:00,467.17,1
2026-01-13,META,DN,2026-01-13 10:51:00-05:00,626.19,2
2026-01-14,TSLA,DN,2026-01-14 10:43:00-05:00,437.515,1
2026-01-14,META,DN,2026-01-14 10:50:00-05:00,618.2599,2
2026-01-15,NVDA,UP,2026-01-15 10:38:00-05:00,187.985,1
2026-01-15,AMD,UP,2026-01-15 10:56:00-05:00,236.2501,2
2026-01-16,AMD,UP,2026-01-16 10:59:00-05:00,232.956,1
2026-01-20,AMD,UP,2026-01-20 10:30:00-05:00,237.3299,1
2026-01-20,TSLA,DN,2026-01-20 10:55:00-05:00,425.5473,2
2026-01-21,AMD,UP,2026-01-21 10:30:00-05:00,247.9233,1
2026-01-21,TSLA,UP,2026-01-21 10:37:00-05:00,428.02,2
2026-01-22,META,UP,2026-01-22 10:31:00-05:00,635.58,1
2026-01-22,AMD,UP,2026-01-22 11:49:00-05:00,255.34,2
2026-01-23,MSFT,UP,2026-01-23 10:40:00-05:00,464.84,1
2026-01-23,AMZN,UP,2026-01-23 10:55:00-05:00,239.325,2
2026-01-26,AAPL,UP,2026-01-26 10:30:00-05:00,254.44,1
2026-01-26,TSLA,DN,2026-01-26 10:33:00-05:00,437.6262,2
2026-01-27,AAPL,UP,2026-01-27 11:07:00-05:00,260.8399,1
2026-01-27,MSFT,UP,2026-01-27 11:49:00-05:00,480.1499,2
2026-01-29,TSLA,DN,2026-01-29 10:30:00-05:00,422.8,1
2026-01-29,AMD,DN,2026-01-29 10:33:00-05:00,247.1,2
2026-01-30,META,DN,2026-01-30 10:30:00-05:00,721.085,1
2026-01-30,TSLA,UP,2026-01-30 10:30:00-05:00,432.3974,2
2026-02-02,AMD,UP,2026-02-02 10:46:00-05:00,247.465,1
2026-02-02,TSLA,DN,2026-02-02 11:03:00-05:00,419.35,2
2026-02-03,MSFT,DN,2026-02-03 10:30:00-05:00,412.11,1
2026-02-03,AMZN,DN,2026-02-03 11:07:00-05:00,237.23,2
2026-02-04,AMD,DN,2026-02-04 10:30:00-05:00,207.6,1
2026-02-04,NVDA,DN,2026-02-04 10:33:00-05:00,176.55,2
2026-02-05,AMD,DN,2026-02-05 10:30:00-05:00,193.815,1
2026-02-05,TSLA,DN,2026-02-05 10:34:00-05:00,388.1166,2
2026-02-06,NVDA,UP,2026-02-06 10:30:00-05:00,182.445,1
2026-02-06,TSLA,UP,2026-02-06 10:33:00-05:00,411.01,2
2026-02-09,AMD,UP,2026-02-09 10:50:00-05:00,215.16,1
2026-02-09,MSFT,UP,2026-02-09 10:56:00-05:00,411.235,2
2026-02-10,MSFT,UP,2026-02-10 10:45:00-05:00,422.055,1
2026-02-10,TSLA,UP,2026-02-10 12:17:00-05:00,425.9786,2
2026-02-11,AAPL,UP,2026-02-11 10:59:00-05:00,279.755,1
2026-02-11,MSFT,DN,2026-02-11 11:08:00-05:00,402.865,2
2026-02-12,AMZN,DN,2026-02-12 10:43:00-05:00,199.84,1
2026-02-12,AAPL,DN,2026-02-12 10:53:00-05:00,269.53,2
2026-02-13,NVDA,DN,2026-02-13 10:46:00-05:00,183.04,1
2026-02-17,AMD,DN,2026-02-17 10:31:00-05:00,196.63,1
2026-02-17,TSLA,DN,2026-02-17 11:36:00-05:00,408.36,2
2026-02-18,NVDA,UP,2026-02-18 10:30:00-05:00,189.85,1
2026-02-18,AMZN,UP,2026-02-18 10:44:00-05:00,206.61,2
2026-02-20,AMZN,UP,2026-02-20 10:47:00-05:00,210.015,1
2026-02-20,META,UP,2026-02-20 11:43:00-05:00,660.0099,2
2026-02-23,TSLA,DN,2026-02-23 10:33:00-05:00,403.14,1
2026-02-23,MSFT,DN,2026-02-23 10:37:00-05:00,389.06,2
2026-02-24,AMD,UP,2026-02-24 10:35:00-05:00,211.7382,1
2026-02-24,AMZN,UP,2026-02-24 12:17:00-05:00,209.75,2
2026-02-25,MSFT,UP,2026-02-25 10:30:00-05:00,399.123,1
2026-02-25,NVDA,UP,2026-02-25 11:36:00-05:00,196.695,2
2026-02-26,AMD,DN,2026-02-26 11:00:00-05:00,203.035,1
2026-02-26,TSLA,DN,2026-02-26 11:43:00-05:00,407.38,2
2026-02-27,NVDA,DN,2026-02-27 11:42:00-05:00,180.375,1
2026-02-27,TSLA,DN,2026-02-27 12:20:00-05:00,400.215,2
2026-03-02,AMD,DN,2026-03-02 10:32:00-05:00,193.365,1
2026-03-02,NVDA,UP,2026-03-02 10:50:00-05:00,181.175,2
2026-03-03,NVDA,DN,2026-03-03 10:30:00-05:00,178.05,1
2026-03-03,TSLA,DN,2026-03-03 10:30:00-05:00,387.18,2
2026-03-04,META,UP,2026-03-04 10:30:00-05:00,670.0,1
2026-03-04,AMD,UP,2026-03-04 10:31:00-05:00,197.0805,2
2026-03-05,AMD,DN,2026-03-05 12:32:00-05:00,197.745,1
2026-03-05,META,DN,2026-03-05 12:32:00-05:00,653.86,2
2026-03-06,META,DN,2026-03-06 11:15:00-05:00,646.98,1
2026-03-09,AMD,UP,2026-03-09 12:33:00-04:00,197.06,1
2026-03-11,TSLA,UP,2026-03-11 11:29:00-04:00,409.0,1
2026-03-12,AAPL,DN,2026-03-12 10:30:00-04:00,254.7601,1
2026-03-12,NVDA,DN,2026-03-12 10:30:00-04:00,182.09,2
2026-03-13,META,DN,2026-03-13 10:46:00-04:00,622.8,1
2026-03-13,AMD,DN,2026-03-13 11:46:00-04:00,193.7999,2
2026-03-16,AMD,UP,2026-03-16 10:30:00-04:00,197.6,1
2026-03-16,TSLA,UP,2026-03-16 10:30:00-04:00,401.52,2
2026-03-18,AMD,UP,2026-03-18 11:05:00-04:00,200.5801,1
2026-03-18,AMZN,DN,2026-03-18 12:45:00-04:00,210.86,2
2026-04-01,AMD,UP,2026-04-01 10:30:00-04:00,210.85,1
2026-04-01,MSFT,DN,2026-04-01 13:01:00-04:00,372.32,2
2026-04-02,AMD,UP,2026-04-02 11:19:00-04:00,214.72,1
2026-04-02,TSLA,DN,2026-04-02 12:30:00-04:00,363.84,2
2026-04-06,AAPL,UP,2026-04-06 10:31:00-04:00,261.985,1
2026-04-06,TSLA,DN,2026-04-06 11:25:00-04:00,353.0951,2
2026-04-07,AAPL,DN,2026-04-07 10:30:00-04:00,247.349,1
2026-04-07,TSLA,DN,2026-04-07 10:46:00-04:00,340.065,2
2026-04-08,AAPL,UP,2026-04-08 11:00:00-04:00,258.915,1
2026-04-08,META,UP,2026-04-08 12:13:00-04:00,608.94,2
2026-04-09,META,UP,2026-04-09 10:41:00-04:00,625.2,1
2026-04-09,AMZN,UP,2026-04-09 10:43:00-04:00,225.78,2
2026-04-10,NVDA,UP,2026-04-10 10:30:00-04:00,187.99,1
2026-04-10,AMD,UP,2026-04-10 10:39:00-04:00,246.525,2
2026-04-13,MSFT,UP,2026-04-13 10:54:00-04:00,378.4979,1
2026-05-01,TSLA,UP,2026-05-01 10:33:00-04:00,388.33,1
2026-05-01,META,DN,2026-05-01 10:36:00-04:00,606.605,2
2026-05-04,AMZN,UP,2026-05-04 10:38:00-04:00,274.545,1
2026-05-04,AMD,DN,2026-05-04 10:59:00-04:00,346.85,2
2026-05-05,AAPL,UP,2026-05-05 13:04:00-04:00,282.43,1
2026-05-06,NVDA,UP,2026-05-06 10:40:00-04:00,205.27,1
2026-05-06,AMD,UP,2026-05-06 11:22:00-04:00,416.93,2
2026-05-07,TSLA,UP,2026-05-07 10:36:00-04:00,411.92,1
2026-05-07,MSFT,UP,2026-05-07 10:51:00-04:00,425.02,2
2026-05-08,AAPL,UP,2026-05-08 10:30:00-04:00,293.92,1
2026-05-08,TSLA,UP,2026-05-08 10:50:00-04:00,426.3201,2
2026-05-11,TSLA,DN,2026-05-11 10:32:00-04:00,417.17,1
2026-05-11,NVDA,UP,2026-05-11 10:46:00-04:00,219.67,2
2026-05-12,AMD,DN,2026-05-12 10:32:00-04:00,444.195,1
2026-05-12,TSLA,DN,2026-05-12 10:57:00-04:00,431.56,2
2026-05-13,TSLA,UP,2026-05-13 10:30:00-04:00,443.8,1
2026-05-13,NVDA,UP,2026-05-13 10:51:00-04:00,225.48,2
2026-05-14,NVDA,UP,2026-05-14 10:40:00-04:00,235.15,1
2026-05-15,TSLA,DN,2026-05-15 10:30:00-04:00,426.8771,1
2026-05-15,MSFT,UP,2026-05-15 10:38:00-04:00,422.785,2
2026-05-18,TSLA,DN,2026-05-18 10:30:00-04:00,413.365,1
2026-05-18,AMD,DN,2026-05-18 10:33:00-04:00,414.03,2
2026-05-19,AMZN,DN,2026-05-19 11:15:00-04:00,256.93,1
2026-05-19,TSLA,DN,2026-05-19 11:26:00-04:00,397.56,2
2026-05-20,AMD,UP,2026-05-20 10:30:00-04:00,445.21,1
2026-05-20,NVDA,UP,2026-05-20 11:15:00-04:00,225.61,2
2026-05-21,NVDA,DN,2026-05-21 10:34:00-04:00,218.2775,1
2026-05-21,AMD,DN,2026-05-21 11:06:00-04:00,434.4,2
2026-05-22,AMD,UP,2026-05-22 10:30:00-04:00,468.7,1
2026-05-22,TSLA,UP,2026-05-22 10:38:00-04:00,426.77,2
2026-05-26,AMD,UP,2026-05-26 10:30:00-04:00,494.1298,1
2026-05-27,AMD,DN,2026-05-27 10:30:00-04:00,488.7301,1
2026-05-27,NVDA,DN,2026-05-27 10:41:00-04:00,209.915,2
2026-05-28,AMD,UP,2026-05-28 10:39:00-04:00,511.0,1
2026-05-28,MSFT,UP,2026-05-28 11:00:00-04:00,425.09,2
2026-05-29,TSLA,DN,2026-05-29 10:32:00-04:00,429.65,1
2026-05-29,MSFT,UP,2026-05-29 10:34:00-04:00,441.445,2
2026-06-01,META,DN,2026-06-01 10:30:00-04:00,610.26,1
2026-06-01,AMZN,DN,2026-06-01 10:33:00-04:00,263.785,2
2026-06-02,MSFT,DN,2026-06-02 11:16:00-04:00,442.56,1
2026-06-02,AAPL,UP,2026-06-02 11:21:00-04:00,312.63,2
2026-06-03,AMD,UP,2026-06-03 10:30:00-04:00,536.11,1
2026-06-03,MSFT,DN,2026-06-03 10:30:00-04:00,430.68,2
2026-06-04,META,UP,2026-06-04 10:32:00-04:00,637.71,1
