date,symbol,dir,moneyness,ticker,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts
2026-01-02,AMZN,DN,ATM,AMZN260102P00232500,2026-01-02 10:52:00-05:00,1,5.89,7.04,0.19524617996604432,T+30,2026-01-02 10:52:00-05:00,2026-01-02 11:22:08-05:00
2026-01-02,MSFT,DN,ATM,MSFT260102P00472500,2026-01-02 10:56:00-05:00,1,0.612,1.01,0.650326797385621,TP,2026-01-02 10:56:01-05:00,2026-01-02 10:57:35-05:00
2026-01-07,AMD,DN,ATM,AMD260109P00212500,2026-01-07 10:38:00-05:00,1,4.77,4.52,-0.052410901467505266,T+30,2026-01-07 10:38:00-05:00,2026-01-07 11:08:00-05:00
2026-01-07,MSFT,UP,ATM,MSFT260109C00490000,2026-01-07 12:15:00-05:00,1,2.74,2.882,0.05182481751824808,T+30,2026-01-07 12:15:02-05:00,2026-01-07 12:45:00-05:00
2026-01-08,AMD,DN,ATM,AMD260109P00205000,2026-01-08 10:40:00-05:00,1,2.166,2.5060000000000002,0.15697137580794096,T+30,2026-01-08 10:40:00-05:00,2026-01-08 11:10:00-05:00
2026-01-08,NVDA,DN,ATM,NVDA260109P00185000,2026-01-08 11:00:00-05:00,1,1.486,1.744,0.17362045760430678,T+30,2026-01-08 11:00:00-05:00,2026-01-08 11:30:00-05:00
2026-01-09,TSLA,UP,ATM,TSLA260109C00445000,2026-01-09 11:56:00-05:00,1,1.244,1.336,0.07395498392282973,T+30,2026-01-09 11:56:00-05:00,2026-01-09 12:26:02-05:00
2026-01-14,TSLA,DN,ATM,TSLA260116P00437500,2026-01-14 10:43:00-05:00,1,5.38,5.92,0.1003717472118959,T+30,2026-01-14 10:43:00-05:00,2026-01-14 11:13:00-05:00
2026-01-14,META,DN,ATM,META260116P00630000,2026-01-14 10:50:00-05:00,1,13.83,11.68,-0.15545914678235717,T+30,2026-01-14 10:50:00-05:00,2026-01-14 11:20:03-05:00
2026-01-15,NVDA,UP,ATM,NVDA260116C00187500,2026-01-15 10:38:00-05:00,1,2.046,1.742,-0.1485826001955034,T+30,2026-01-15 10:38:00-05:00,2026-01-15 11:08:00-05:00
2026-01-15,AMD,UP,ATM,AMD260116C00237500,2026-01-15 10:56:00-05:00,1,2.646,2.782,0.05139833711262298,T+30,2026-01-15 10:56:00-05:00,2026-01-15 11:26:01-05:00
2026-01-16,AMD,UP,ATM,AMD260116C00232500,2026-01-16 10:59:00-05:00,1,1.6179999999999999,1.486,-0.08158220024721874,T+30,2026-01-16 10:59:00-05:00,2026-01-16 11:29:00-05:00
2026-01-21,AMD,UP,ATM,AMD260123C00250000,2026-01-21 10:30:00-05:00,1,3.98,6.37,0.6005025125628141,TP,2026-01-21 10:30:00-05:00,2026-01-21 10:42:16-05:00
2026-01-21,TSLA,UP,ATM,TSLA260123C00427500,2026-01-21 10:37:00-05:00,1,6.08,5.92,-0.02631578947368418,T+30,2026-01-21 10:37:00-05:00,2026-01-21 11:07:01-05:00
2026-01-22,META,UP,ATM,META260123C00640000,2026-01-22 10:31:00-05:00,1,3.37,3.07,-0.08902077151335319,T+30,2026-01-22 10:31:00-05:00,2026-01-22 11:01:02-05:00
2026-01-22,AMD,UP,ATM,AMD260123C00255000,2026-01-22 11:49:00-05:00,1,3.43,3.36,-0.020408163265306256,T+30,2026-01-22 11:49:00-05:00,2026-01-22 12:19:03-05:00
2026-01-23,MSFT,UP,ATM,MSFT260123C00467500,2026-01-23 10:40:00-05:00,1,1.178,1.8860000000000001,0.6010186757215621,TP,2026-01-23 10:40:01-05:00,2026-01-23 10:57:55-05:00
2026-01-23,AMZN,UP,ATM,AMZN260123C00240000,2026-01-23 10:55:00-05:00,1,0.458,0.752,0.6419213973799125,TP,2026-01-23 10:55:00-05:00,2026-01-23 10:57:54-05:00
2026-01-29,TSLA,DN,ATM,TSLA260130P00417500,2026-01-29 10:30:00-05:00,1,3.99,6.42,0.6090225563909772,TP,2026-01-29 10:30:00-05:00,2026-01-29 10:48:52-05:00
2026-01-29,AMD,DN,ATM,AMD260130P00250000,2026-01-29 10:33:00-05:00,1,5.27,8.44,0.6015180265654649,TP,2026-01-29 10:33:00-05:00,2026-01-29 10:51:06-05:00
2026-01-30,META,DN,ATM,META260130P00717500,2026-01-30 10:30:00-05:00,1,2.334,3.74,0.6023993144815767,TP,2026-01-30 10:30:00-05:00,2026-01-30 10:57:22-05:00
2026-01-30,TSLA,UP,ATM,TSLA260130C00432500,2026-01-30 10:30:00-05:00,1,3.97,6.38,0.6070528967254407,TP,2026-01-30 10:30:00-05:00,2026-01-30 10:46:38-05:00
2026-02-02,TSLA,DN,ATM,TSLA260202P00422500,2026-02-02 11:03:00-05:00,1,4.03,4.22,0.04714640198511155,T+30,2026-02-02 11:03:00-05:00,2026-02-02 11:33:00-05:00
2026-02-03,MSFT,DN,ATM,MSFT260204P00412500,2026-02-03 10:30:00-05:00,1,3.53,2.742,-0.22322946175637393,T+30,2026-02-03 10:30:00-05:00,2026-02-03 11:00:00-05:00
2026-02-03,AMZN,DN,ATM,AMZN260204P00237500,2026-02-03 11:07:00-05:00,1,2.322,2.34,0.007751937984496138,T+30,2026-02-03 11:07:00-05:00,2026-02-03 11:37:00-05:00
2026-02-04,AMD,DN,ATM,AMD260206P00212500,2026-02-04 10:30:00-05:00,1,7.52,9.19,0.22207446808510634,T+30,2026-02-04 10:30:00-05:00,2026-02-04 11:00:00-05:00
2026-02-04,NVDA,DN,ATM,NVDA260204P00175000,2026-02-04 10:33:00-05:00,1,0.728,1.182,0.6236263736263736,TP,2026-02-04 10:33:00-05:00,2026-02-04 11:02:26-05:00
2026-02-05,AMD,DN,ATM,AMD260206P00195000,2026-02-05 10:30:00-05:00,1,5.319999999999999,5.28,-0.007518796992481036,T+30,2026-02-05 10:30:00-05:00,2026-02-05 11:00:00-05:00
2026-02-05,TSLA,DN,ATM,TSLA260206P00397500,2026-02-05 10:34:00-05:00,1,11.47,8.83,-0.23016564952048824,T+30,2026-02-05 10:34:00-05:00,2026-02-05 11:04:00-05:00
2026-02-06,NVDA,UP,ATM,NVDA260206C00185000,2026-02-06 10:30:00-05:00,1,0.46799999999999997,0.332,-0.29059829059829057,T+30,2026-02-06 10:30:00-05:00,2026-02-06 11:00:01-05:00
2026-02-06,TSLA,UP,ATM,TSLA260206C00412500,2026-02-06 10:33:00-05:00,1,1.996,1.236,-0.38076152304609223,T+30,2026-02-06 10:33:00-05:00,2026-02-06 11:03:01-05:00
2026-02-09,MSFT,UP,ATM,MSFT260209C00412500,2026-02-09 10:56:00-05:00,1,1.024,1.018,-0.005859375,T+30,2026-02-09 10:56:00-05:00,2026-02-09 11:26:01-05:00
2026-02-10,MSFT,UP,ATM,MSFT260211C00420000,2026-02-10 10:45:00-05:00,1,4.37,4.13,-0.05491990846681927,T+30,2026-02-10 10:45:00-05:00,2026-02-10 11:15:00-05:00
2026-02-10,TSLA,UP,ATM,TSLA260211C00422500,2026-02-10 12:17:00-05:00,1,5.83,5.42,-0.07032590051457976,T+30,2026-02-10 12:17:00-05:00,2026-02-10 12:47:01-05:00
2026-02-11,AAPL,UP,ATM,AAPL260211C00275000,2026-02-11 10:59:00-05:00,1,4.81,3.31,-0.31185031185031176,T+30,2026-02-11 10:59:00-05:00,2026-02-11 11:29:00-05:00
2026-02-11,MSFT,DN,ATM,MSFT260211P00405000,2026-02-11 11:08:00-05:00,1,2.924,2.98,0.019151846785225635,T+30,2026-02-11 11:08:00-05:00,2026-02-11 11:38:00-05:00
2026-02-12,AMZN,DN,ATM,AMZN260213P00202500,2026-02-12 10:43:00-05:00,1,3.18,5.13,0.6132075471698113,TP,2026-02-12 10:43:00-05:00,2026-02-12 11:05:48-05:00
2026-02-12,AAPL,DN,ATM,AAPL260213P00275000,2026-02-12 10:53:00-05:00,1,5.390000000000001,7.96,0.4768089053803337,T+30,2026-02-12 10:53:01-05:00,2026-02-12 11:23:00-05:00
2026-02-13,NVDA,DN,ATM,NVDA260213P00182500,2026-02-13 10:46:00-05:00,1,0.858,1.392,0.6223776223776223,TP,2026-02-13 10:46:00-05:00,2026-02-13 10:49:41-05:00
